job_id,job,location,work_type,full_time_remote,no_of_application,posted_day_ago,role_category,skills_found
3471657636,"Data Analyst, Trilogy (Remote) - $60,000/year USD","Delhi, Delhi, India",Remote,Full-time · Associate,200.0,1 day,Data Analyst,['Excel']
3469847392,Artificial Intelligence Intern,"Mumbai, Maharashtra, India",On-site,Full-time,7.0,3 hours,AI / ML Engineer,[]
3471669068,"Data Analyst, Trilogy (Remote) - $60,000/year USD","New Delhi, Delhi, India",Remote,Full-time · Associate,200.0,1 day,Data Analyst,['Excel']
3476191901,Machine Learning Engineer/Developer,"Chennai, Tamil Nadu, India",Hybrid,Full-time · Mid-Senior level,129.0,9 hours,AI / ML Engineer,"['Statistics', 'A/B Testing', 'Machine Learning', 'NLP']"
3474495578,Data Analyst,India,Remote,Contract · Mid-Senior level,200.0,14 hours,Data Analyst,"['Python', 'SQL', 'Excel', 'Tableau', 'Power BI', 'Statistics', 'Pandas', 'NumPy']"
3476482504,Data Analyst,"Hyderabad, Telangana, India",On-site,Full-time,38.0,1 hour,Data Analyst,['Excel']
3476967056,Machine Learning Engineer,India,Remote,Contract · Mid-Senior level,51.0,6 hours,AI / ML Engineer,"['Python', 'Excel', 'Statistics', 'A/B Testing', 'Machine Learning']"
3469073877,Data Analyst,"New Delhi, Delhi, India",On-site,Contract,87.0,7 hours,Data Analyst,['Power BI']
3467371059,Machine learning training + internship,India,Remote,Internship,20.0,1 day,AI / ML Engineer,[]
3468598937,Computer Vision Engineer,"Bengaluru, Karnataka, India",Hybrid,Full-time · Entry level,200.0,14 hours,AI / ML Engineer,"['Python', 'Excel', 'Statistics', 'Deep Learning']"
3477341606,Machine Learning Consultant,"Hyderabad, Telangana, India",On-site,Full-time · Associate,14.0,2 hours,AI / ML Engineer,"['Python', 'Statistics', 'Machine Learning', 'LLMs']"
3468582372,Computer Vision Engineer,India,Remote,Full-time,200.0,15 hours,AI / ML Engineer,"['Python', 'Excel', 'Machine Learning', 'Deep Learning']"
3476176425,Data Analyst Required in Canada(*Service charges applicable),"Bengaluru, Karnataka, India",On-site,Full-time,25.0,9 hours,Data Analyst,['LLMs']
3469005328,Artificial Intelligence Engineer,"Gurugram, Haryana, India",On-site,Full-time,171.0,14 hours,AI / ML Engineer,"['Python', 'Statistics']"
3474480052,ML Engineer - WFH,"Haryana, India",Remote,Full-time · Mid-Senior level,61.0,16 hours,AI / ML Engineer,"['Python', 'Statistics', 'Machine Learning', 'Deep Learning', 'NLP', 'Spark']"
3474473932,Associate Data Scientist,"Hyderabad, Telangana, India",Remote,Full-time · Mid-Senior level,111.0,16 hours,AI / ML Engineer,"['Python', 'SQL', 'Excel', 'Tableau', 'Statistics', 'Machine Learning']"
3472504479,Data Analyst,"Gurugram, Haryana, India",On-site,Full-time · Entry level,200.0,1 day,Data Analyst,"['SQL', 'Excel', 'Tableau', 'Power BI']"
